area,cafe_count,total_seats,indoor_seats,outdoor_seats,population,cafes_per_1000,seats_per_1000,raw_score,gem_score
Melbourne (CBD),603,72698,63408,9290,26878,22.4347,2704.7399,1363.5873,100.0
Docklands,63,12671,9284,3387,11654,5.4059,1087.2662,546.3361,39.3
Carlton,164,13738,10539,3199,18173,9.0244,755.9566,382.4905,27.2
Southbank,52,16141,12357,3784,22428,2.3185,719.6808,360.9996,25.6
Melbourne (Remainder),18,2674,1695,979,4823,3.7321,554.4267,279.0794,19.5
East Melbourne,26,2018,1567,451,5084,5.1141,396.9315,201.0228,13.7
Parkville,16,2158,1477,681,7765,2.0605,277.9137,139.9871,9.1
North Melbourne,58,3524,2771,753,16862,3.4397,208.9906,106.2151,6.6
West Melbourne (Residential),36,1673,1429,244,9214,3.9071,181.5715,92.7393,5.6
Kensington,22,1272,1064,208,10892,2.0198,116.783,59.4014,3.2
Port Melbourne,9,912,613,299,18614,0.4835,48.9954,24.7394,0.6
South Yarra,6,744,555,189,22312,0.2689,33.3453,16.8071,0.0
