area,lon,lat
South Yarra,144.98292521995853,-37.83760704949379
Melbourne (CBD),144.96291513859617,-37.81381109987871
Melbourne (Remainder),144.97838992382978,-37.828764031547315
North Melbourne,144.94506274103145,-37.79844895689088
West Melbourne (Industrial),144.9221537804208,-37.809621301586795
Port Melbourne,144.91223395712774,-37.83183174511404
Docklands,144.9416850851487,-37.81851829412262
Carlton,144.966376105915,-37.79601167728975
Parkville,144.9515603312268,-37.78711656492933
Southbank,144.96176162794978,-37.82529018627908
East Melbourne,144.9825008488323,-37.814581164837946
Kensington,144.9204996881507,-37.79152998205382
West Melbourne (Residential),144.94942867521925,-37.808460189256294
